Gene,Chromosome,Start,End
Bn278,A07,1902722,4661513
Bn279,A08,1358536,2863257
Bn280,A05,3812262,4473978
Bn281,A09,2297771,3156699
Bn282,A10,3703495,3978740
Bn283,A06,4302286,4993118
Bn284,A10,4439757,4879703
Bn285,A03,2736332,4213036
Bn286,A02,1921308,3884408
Bn287,A05,4069067,4252559
Bn288,A03,2737244,3981941
Bn289,A03,1089538,1524515
Bn290,A03,1028203,2689659
Bn291,A07,2572692,4649303
Bn292,A06,2413562,2846778
Bn293,A03,3888689,4416986
Bn294,A01,1718335,3409639
Bn295,A02,2819988,4760638
Bn296,A04,3372873,3921111
Bn297,A05,2372409,4911731
Bn298,A08,3338397,4979382
Bn299,A04,2310402,2926536
Bn300,A05,1815480,3547617
Bn301,A04,1367296,2136809
Bn302,A05,2719170,2862803
Bn303,A04,1843673,1964797
Bn304,A04,1554164,3473022
Bn305,A06,3355752,4764097
Bn306,A09,3664351,4876820
Bn307,A03,1789808,2581535
Bn308,A05,3914317,4576676
Bn309,A04,1338781,2417938
Bn310,A10,3950149,4518567
Bn311,A08,4842841,4892268
Bn312,A04,4810837,4911284
Bn313,A04,4811183,4827994
Bn314,A10,3303814,4521461
Bn315,A09,2333838,2517143
Bn316,A04,3718419,4098167
Bn317,A08,1419575,3397393
Bn318,A07,3459373,4544611
Bn319,A04,3514344,3969678
Bn320,A03,4869560,4940707
Bn321,A01,3702278,4656962
Bn322,A09,1354971,2562038
Bn323,A09,2793206,3684240
Bn324,A03,1221348,4630709
Bn325,A07,4429723,4536216
Bn326,A06,4224994,4633410
Bn327,A08,2456705,2670293
Bn328,A05,1923535,2394439
Bn329,A07,4493709,4996897
Bn330,A02,1752010,3553563
Bn331,A02,1877494,1935042
Bn332,A08,1194878,4163836
Bn333,A05,2132467,3018945
Bn334,A07,1691904,2873132
Bn335,A10,4366327,4671202
Bn336,A07,3989866,4119921
Bn337,A04,1228563,1885350
Bn338,A04,4842071,4966120
Bn339,A04,2547048,3144950
Bn340,A01,4867504,4971438
Bn341,A05,3328825,4948223
Bn342,A03,3306688,4623599
Bn343,A10,3171533,4712758
Bn344,A05,1351127,1700233
Bn345,A06,1495517,4386952
Bn346,A09,2460430,4897319
Bn347,A09,4381076,4691327
Bn348,A08,2186030,4333161
Bn349,A05,1282870,2167069
Bn350,A08,3955026,4258068
Bn351,A07,2756863,3758487
Bn352,A08,1246471,2254094
Bn353,A09,4538062,4780286
Bn354,A08,4488156,4671687
Bn355,A04,2730045,4651058
Bn356,A08,4732669,4884101
Bn357,A09,1131239,4954725
Bn358,A04,4563216,4988716
Bn359,A01,3653207,3855226
Bn360,A04,3098522,3383753
Bn361,A03,4311399,4498768
Bn362,A05,1964793,4961300
Bn363,A08,3307094,3314813
Bn364,A01,1798265,2673104
Bn365,A05,1477979,3528911
Bn366,A08,1821582,3113529
Bn367,A07,3306608,3937324
Bn368,A07,3192996,4683248
Bn369,A04,4445944,4824338
Bn370,A07,3043237,4679981
Bn371,A06,2212419,3819006
Bn372,A06,1044815,3809353
Bn373,A08,1370698,3524633
Bn374,A10,4416374,4935671
Bn375,A04,2376798,3681143
Bn376,A02,4771900,4835189
Bn377,A02,2609465,2868764
Bn378,A10,3523168,4062886
Bn379,A05,4091708,4865915
Bn380,A01,1005764,4644966
Bn381,A08,4083857,4129535
Bn382,A01,1780747,4057103
Bn383,A10,2585579,3695009
Bn384,A07,3785008,3953487
Bn385,A01,3458163,3626143
Bn386,A05,2692900,3976794
Bn387,A03,3828540,4934936
Bn388,A10,3376394,3459659
Bn389,A03,3952666,4071140
Bn390,A07,2436960,4041379
Bn391,A08,2782131,3841060
Bn392,A08,1256167,1890608
Bn393,A08,3313531,3627104
Bn394,A05,4509698,4843593
Bn395,A01,3556712,4756495
Bn396,A04,2254348,4765546
Bn397,A08,4927323,4994791
Bn398,A03,4423915,4456781
Bn399,A08,3295957,3934911
Bn400,A01,1815497,2226863
Bn401,A06,2993243,3775195
Bn402,A06,1332792,2977570
Bn403,A09,2791940,3839676
Bn404,A04,3746156,4164351
Bn405,A02,1914797,3004302
Bn406,A10,3977173,4602136
Bn407,A03,1743949,4400107
Bn408,A09,4567061,4914178
Bn409,A08,3345365,4560217
Bn410,A06,4631569,4845952
Bn411,A03,1144626,1412641
Bn412,A07,3096162,3810224
Bn413,A02,1987094,2027611
Bn414,A09,1870055,2456331
Bn415,A05,4226132,4840357
Bn416,A01,1581046,2327112
Bn417,A08,4828070,4974729
Bn418,A01,3783748,3940141
Bn419,A09,4101567,4965668
Bn420,A01,1738725,3810267
Bn421,A06,2791035,4667569
Bn422,A03,2396168,3295981
Bn423,A09,4980538,4998080
Bn424,A05,3668817,4583632
Bn425,A07,4098671,4612312
Bn426,A02,3534240,4040464
Bn427,A07,2729450,4387808
Bn428,A08,1560025,2222136
Bn429,A01,3748726,4145740
Bn430,A05,4748744,4751123
Bn431,A01,2417861,4582444
Bn432,A08,4280174,4763371
Bn433,A03,3417896,4023334
Bn434,A10,3670650,3798011
Bn435,A03,4048848,4768576
Bn436,A03,2405692,2973224
Bn437,A04,4977802,4994595
Bn438,A06,2704142,3923918
Bn439,A07,2819366,3477114
Bn440,A01,4286749,4921750
Bn441,A06,4126684,4560532
Bn442,A07,3425235,3747799
Bn443,A04,3505248,4205076
Bn444,A07,4664891,4907035
Bn445,A10,4455153,4796608
Bn446,A03,4505549,4959168
Bn447,A03,3005054,4162468
Bn448,A05,2752643,2870110
Bn449,A01,1184905,3906561
Bn450,A05,4628743,4683519
Bn451,A05,3102773,3590271
Bn452,A01,2605730,4449917
Bn453,A08,2040018,3913605
Bn454,A10,4835392,4897404
Bn455,A07,1002756,3494314
Bn456,A07,1335456,4389778
Bn457,A06,4952380,4970342
Bn458,A08,3492415,4913850
Bn459,A08,1359215,1458133
Bn460,A02,1505467,1631620
Bn461,A08,1008678,1112562
Bn462,A05,2828508,4081794
Bn463,A09,2255921,3379395
Bn464,A07,4481928,4509078
Bn465,A01,4172978,4514644
Bn466,A10,4607122,4776347
Bn467,A08,3984194,4776120
Bn468,A03,1264243,3547780
Bn469,A04,4613712,4730589
Bn470,A07,4274463,4973522
Bn471,A06,3076394,4192761
Bn472,A05,3668043,4019903
Bn473,A10,2515215,4593391
Bn474,A04,1033273,2964978
Bn475,A10,1734013,4102058
Bn476,A06,3377329,4513773
Bn477,A01,4308510,4601677
Bn478,A08,2130559,4626518
Bn479,A03,2830317,3014719
Bn480,A01,2788146,3767380
Bn481,A07,4728442,4760978
Bn482,A03,3763898,4723188
Bn483,A02,4649506,4831935
Bn484,A06,4900973,4910659
Bn485,A10,1487996,4138248
Bn486,A08,4763105,4974312
Bn487,A05,2809027,4139785
Bn488,A09,3483903,4861093
Bn489,A07,2793740,3532487
Bn490,A08,2012431,4656020
Bn491,A09,1391444,4136736
Bn492,A07,3790713,3848667
Bn493,A03,1793470,4948131
Bn494,A03,4358967,4439867
Bn495,A09,2311112,3109847
Bn496,A05,4437129,4723124
Bn497,A01,3564603,4062716
Bn498,A08,1078424,1374625
Bn499,A09,2858110,3691323
Bn500,A02,2732080,2939249
Bn501,A03,4145742,4245866
Bn502,A02,4214192,4520047
Bn503,A09,1044663,2573034
Bn504,A09,3687755,4578188
Bn505,A09,3326721,4230941
Bn506,A10,3898701,4625467
Bn507,A02,1181497,3439179
Bn508,A05,2382760,2644368
Bn509,A07,4803370,4957745
Bn510,A07,4893978,4945909
Bn511,A01,3853356,4678051
Bn512,A09,3631211,4360797
Bn513,A02,2544813,2626494
Bn514,A01,3906652,4186367
Bn515,A03,3629732,3924546
Bn516,A10,2920080,3943163
Bn517,A01,3562652,4104003
Bn518,A02,3697377,4278439
Bn519,A02,2298901,4440455
Bn520,A09,2880257,4865403
Bn521,A01,2054015,3819158
Bn522,A06,2800580,4381600
Bn523,A10,3366410,4258498
Bn524,A05,3055871,3805298
Bn525,A01,3747904,4152421
Bn526,A05,1228981,4341738
Bn527,A05,3896422,4700868
Bn528,A01,4884172,4920449
Bn529,A05,3412548,4359501
Bn530,A07,1630581,4363350
Bn531,A02,1640328,1800011
Bn532,A09,2813386,3550767
Bn533,A09,2828091,4378889
Bn534,A03,3426234,3934566
Bn535,A09,4686476,4851393
Bn536,A04,3483879,4579354
Bn537,A10,2434416,3033562
Bn538,A01,1962805,2365671
Bn539,A08,4164457,4668983
Bn540,A08,1340465,3984800
Bn541,A03,1438408,4947608
Bn542,A05,1769686,3879193
Bn543,A07,4220082,4250998
Bn544,A08,2115477,2896567
Bn545,A05,3934676,4173788
Bn546,A03,3261229,3601532
Bn547,A10,3400326,3483579
Bn548,A04,3134032,4550320
Bn549,A02,1288769,2350277
Bn550,A07,2207075,3563563
Bn551,A08,1904898,3290469
Bn552,A04,4570103,4821140
Bn553,A10,4159984,4368103
Bn554,A08,4667904,4995557
Bn555,A06,4545526,4634485
Bn556,A08,4796225,4927628
Bn557,A05,2675343,2761780
Bn558,A04,2579782,4127770
Bn559,A10,2958996,3583981
Bn560,A04,4512536,4985054
Bn561,A10,1518711,4963650
Bn562,A10,3584428,4591688
Bn563,A07,2856688,3728294
Bn564,A01,3924062,4237120
Bn565,A09,4885298,4928435
Bn566,A01,1747582,2379859
Bn567,A04,2486038,3436751
Bn568,A01,1557339,4832820
Bn569,A06,1699383,2115719
Bn570,A07,2068667,3330844
Bn571,A10,2235320,4956648
Bn572,A07,2280441,4783090
Bn573,A07,3216383,3946175
Bn574,A01,4962828,4986044
Bn575,A07,1804842,3554313
Bn576,A01,1137837,1892563
Bn577,A07,1978909,3835791
Bn578,A01,2145318,3285001
Bn579,A09,4986391,4997763
Bn580,A03,3122827,3593261
Bn581,A02,3387938,3944772
Bn582,A10,2861720,3347356
Bn583,A07,1106536,1323068
Bn584,A04,3873421,4460605
Bn585,A02,3387251,3795231
Bn586,A09,4738662,4914907
Bn587,A03,2572796,4294784
Bn588,A04,3470014,4749971
Bn589,A09,4816527,4838303
Bn590,A01,3691759,4870770
Bn591,A04,2918445,4682241
Bn592,A08,3893507,3963438
Bn593,A05,1428691,2973287
Bn594,A02,2236452,3759889
Bn595,A04,2578101,4565456
Bn596,A10,3975757,4991157
Bn597,A02,1627111,4076273
Bn598,A04,3673862,4056331
Bn599,A09,4536410,4679067
Bn600,A07,3158791,4696801
Bn601,A03,2239299,3876052
Bn602,A02,4350868,4849293
Bn603,A06,3053009,4942899
Bn604,A09,1400188,4989857
Bn605,A03,3640382,4123783
Bn606,A02,2199719,3002842
Bn607,A01,2666826,3010068
Bn608,A10,3733069,4761986
Bn609,A10,2540702,2724663
Bn610,A05,4888837,4895981
Bn611,A10,3533154,3799154
Bn612,A09,3652961,4303396
Bn613,A03,1341588,2596977
Bn614,A07,3329910,3566375
Bn615,A01,4360919,4839247
Bn616,A08,4350245,4654768
Bn617,A08,4766851,4873273
Bn618,A01,3856687,4342195
Bn619,A10,4977487,4980183
Bn620,A09,3056057,4365540
Bn621,A07,4121687,4493700
Bn622,A02,1469930,4705385
Bn623,A06,1605777,4576106
Bn624,A07,1040379,4334834
Bn625,A06,1807327,4478587
Bn626,A06,2569493,3265591
Bn627,A05,3227780,4894199
Bn628,A02,1556377,1959922
Bn629,A07,3098032,4814552
Bn630,A03,4001787,4072785
Bn631,A07,3804112,4396629
Bn632,A06,3219348,3570850
Bn633,A09,2963156,3174705
Bn634,A07,2004253,2271109
Bn635,A06,1532242,2582733
Bn636,A06,1009511,3822661
Bn637,A05,1916603,3975435
Bn638,A03,3631419,3822590
Bn639,A06,4201562,4884252
Bn640,A03,4886488,4960002
Bn641,A09,2953888,4303932
Bn642,A08,4708136,4725272
Bn643,A03,2011761,3901278
Bn644,A02,3105460,3833195
Bn645,A01,2653582,3202823
Bn646,A08,2000913,4933719
Bn647,A09,4566012,4878292
Bn648,A10,4789002,4883186
Bn649,A02,4028818,4641414
Bn650,A05,3471793,3933030
Bn651,A07,4589268,4681107
Bn652,A08,4731310,4971566
Bn653,A07,3161709,4600140
Bn654,A09,3954601,4514271
Bn655,A03,2943635,3190110
Bn656,A06,4022016,4751937
Bn657,A10,4531842,4679051
Bn658,A03,3294479,4873986
Bn659,A10,3241287,3307172
Bn660,A08,1327978,4485764
Bn661,A03,4000196,4975817
Bn662,A05,2389352,3254340
Bn663,A06,2254133,4943303
Bn664,A06,4239610,4978599
Bn665,A05,1772864,2022561
Bn666,A09,1503487,1595289
Bn667,A04,4010619,4781358
Bn668,A02,3265213,3942607
Bn669,A05,1623848,4739073
Bn670,A08,4275817,4422554
Bn671,A01,4239915,4520067
Bn672,A02,3739674,4282929
Bn673,A04,3299460,3460905
Bn674,A01,3960977,4094067
Bn675,A08,3282453,3697527
Bn676,A05,3209638,3411043
Bn677,A08,4166541,4394467
Bn678,A04,4169026,4543916
Bn679,A04,1984924,3966161
Bn680,A02,2595867,3033484
Bn681,A05,1308599,1475895
Bn682,A02,1669822,4376899
Bn683,A08,3017773,4614733
Bn684,A08,4438102,4645566
Bn685,A09,2997935,3336675
Bn686,A04,4328229,4755746
Bn687,A07,3583523,4540351
Bn688,A02,4323261,4605456
Bn689,A06,2209872,4130958
Bn690,A04,2796618,3396982
Bn691,A02,4684677,4706464
Bn692,A08,4632696,4735000
Bn693,A09,1573363,1783415
Bn694,A02,2183652,3424635
Bn695,A06,1410833,4360329
Bn696,A04,2522341,2750870
Bn697,A05,1422021,2286068
Bn698,A10,4388136,4884212
Bn699,A03,3072249,4595741
Bn700,A03,1899405,4666391
Bn701,A06,1488893,2136905
Bn702,A05,1444977,4841603
Bn703,A05,3623706,4413049
Bn704,A10,4201384,4293523
Bn705,A09,4538163,4578264
Bn706,A06,2479901,4488782
Bn707,A09,1389332,4044255
Bn708,A01,1457382,2555325
Bn709,A05,3804003,4428002
Bn710,A02,3757884,4916030
Bn711,A06,2539904,2613043
Bn712,A05,4276235,4590689
Bn713,A10,1580512,3595895
Bn714,A06,2919227,3439891
Bn715,A08,4236226,4285951
Bn716,A06,2940893,4630891
Bn717,A04,2638834,4883406
Bn718,A07,2282683,2283999
Bn719,A10,1092317,4108656
Bn720,A04,2964734,3142267
Bn721,A04,3022028,3628703
Bn722,A03,1805095,2167927
Bn723,A06,1482986,3034117
Bn724,A08,2682465,3830025
Bn725,A07,3442424,3888692
Bn726,A09,1007316,3620009
Bn727,A09,3565244,3619484
Bn728,A10,1139344,2855666
Bn729,A03,4974270,4974690
Bn730,A05,1648467,3795011
Bn731,A06,4850385,4960497
Bn732,A07,1150517,3482308
Bn733,A09,3566371,4894996
Bn734,A04,3081626,3850091
Bn735,A09,1813414,3320919
Bn736,A03,3774216,4874396
Bn737,A07,1818743,2355996
Bn738,A08,3822342,3896916
Bn739,A05,1130125,1745047
Bn740,A02,1854564,2570235
Bn741,A04,1366791,4394544
Bn742,A01,3852860,4008386
Bn743,A02,2075159,3649663
Bn744,A07,2870549,4011437
Bn745,A08,1795210,3770347
Bn746,A03,1433981,3773042
Bn747,A07,3435675,4518018
Bn748,A01,2445315,4800506
Bn749,A09,4590903,4679642
Bn750,A02,2230713,2748171
Bn751,A07,1975849,4826407
Bn752,A03,1859606,4654706
Bn753,A02,2580984,3830454
Bn754,A04,1197780,2952560
Bn755,A09,1467405,2983944
Bn756,A02,1777306,4593217
Bn757,A01,3564056,4116583
Bn758,A06,3976735,4281190
Bn759,A09,3687832,4293708
Bn760,A06,3899409,4325916
Bn761,A01,2440483,4181347
Bn762,A06,1293629,2066075
Bn763,A05,2344822,3687444
Bn764,A07,4593747,4810851
Bn765,A07,3726674,4099256
Bn766,A07,4005628,4752406
Bn767,A01,1818543,2702444
Bn768,A07,1284192,1890416
Bn769,A08,4523951,4708548
Bn770,A06,4152578,4858421
Bn771,A02,4608294,4882055
Bn772,A09,4295782,4781732
Bn773,A02,4646583,4658216
Bn774,A01,4626057,4857387
Bn775,A05,1982108,2351489
Bn776,A06,4138522,4312629
Bn777,A01,4724723,4837872
Bn778,A09,3461034,3642551
Bn779,A03,2704191,4671138
Bn780,A03,1065459,2281966
Bn781,A05,3351707,3665778
Bn782,A08,3002062,4886349
Bn783,A06,2933250,3009051
Bn784,A05,1336418,1401895
Bn785,A05,2004727,3837926
Bn786,A02,2257112,2869137
Bn787,A01,2924379,4844700
Bn788,A04,3561528,4922528
Bn789,A01,2837333,3062891
Bn790,A07,2006373,3448968
Bn791,A10,1152209,2989856
Bn792,A04,1515771,1948853
Bn793,A10,2784878,3450979
Bn794,A04,2960217,4164896
Bn795,A07,1852561,2554438
Bn796,A05,2926137,4307753
Bn797,A04,1719336,4530464
Bn798,A03,2968615,4802147
Bn799,A07,2038712,4174936
Bn800,A01,1199977,3052309
Bn801,A05,2460223,2568960
Bn802,A02,3137124,4217949
Bn803,A10,1447743,1843533
Bn804,A04,2772911,2981119
Bn805,A06,1354658,2005408
Bn806,A09,3893349,4252620
Bn807,A10,2848843,3849861
Bn808,A07,1346600,3678869
Bn809,A01,3569154,4407422
Bn810,A01,3405549,4219799
Bn811,A04,3948906,4779569
Bn812,A06,4092807,4757997
Bn813,A06,2731141,4704696
Bn814,A10,4422489,4881258
Bn815,A08,2504688,2719547
Bn816,A06,2583905,2899512
Bn817,A08,3383407,4685777
Bn818,A09,1290156,4674068
Bn819,A08,4269359,4802211
Bn820,A01,4263399,4782613
Bn821,A06,4828664,4964073
Bn822,A01,1359155,2750363
Bn823,A10,4782438,4813686
Bn824,A03,2766414,2852385
Bn825,A08,2308247,3934978
Bn826,A10,4747212,4987433
Bn827,A02,1929711,4740580
Bn828,A02,1257904,3427397
Bn829,A07,4717078,4858011
Bn830,A03,2918507,4811671
Bn831,A03,3160377,4871436
Bn832,A05,2580858,4516219
Bn833,A01,3023259,3650299
Bn834,A07,3688854,4877709
Bn835,A03,3189247,4431269
Bn836,A03,3042131,3417413
Bn837,A10,1089761,2642555
Bn838,A09,2889405,4532770
Bn839,A03,2361347,4547849
Bn840,A06,1954513,4409531
Bn841,A04,3352172,4974252
Bn842,A04,3033909,3813855
Bn843,A09,1820095,3392483
Bn844,A02,4364130,4413787
Bn845,A05,2109469,2413885
Bn846,A09,1282311,2049710
Bn847,A05,2568602,2859121
Bn848,A01,1598923,3796274
Bn849,A10,1177483,4928530
Bn850,A01,4936262,4949008
Bn851,A10,1292315,4902746
Bn852,A10,1040076,2127944
Bn853,A09,1554006,1845387
Bn854,A01,3587351,3632725
Bn855,A05,1613452,4824099
Bn856,A04,3737720,4386351
Bn857,A02,3539105,4571555
Bn858,A03,4111553,4666640
Bn859,A03,1785181,4744414
Bn860,A07,3617941,3848667
Bn861,A05,3319939,4115707
Bn862,A04,4605571,4884348
Bn863,A09,4520959,4893022
Bn864,A09,2494277,3350874
Bn865,A05,1450979,4640469
Bn866,A02,4293148,4533236
Bn867,A02,3648293,4785489
Bn868,A08,2021521,3577503
Bn869,A02,2914387,4709655
Bn870,A04,2909820,3497946
Bn871,A02,1794038,4418708
Bn872,A09,1887137,3841627
Bn873,A08,4751704,4852956
