Chromosomes,Gene,Start,End,Size,Type
chr01,Bn277,31354404,76139528,44785124,CNL
chr01,Bn278,44644100,97936360,53292260,TNL
chr01,Bn279,32666798,61076568,28409770,TNL
chr01,Bn280,22046887,74202866,52155979,RLK
chr01,Bn281,13371285,31016515,17645230,CN
chr01,Bn282,86116320,95004846,8888526,TN
chr01,Bn283,5333999,25673829,20339830,TNL
chr01,Bn284,15688991,62276044,46587053,NBS
chr01,Bn285,90530132,99558134,9028002,RLP
chr01,Bn286,24572138,52715427,28143289,TNL
chr01,Bn287,24694231,66121186,41426955,TNL
chr01,Bn288,83645222,94918144,11272922,CNL
chr01,Bn289,1221298,78644754,77423456,RLK
chr01,Bn290,23542480,98652098,75109618,RLK
chr01,Bn291,56234497,92054982,35820485,TNL
chr01,Bn292,9086164,43669168,34583004,NBS
chr01,Bn293,3987578,45517565,41529987,TN
chr01,Bn294,77443134,94184795,16741661,RLP
chr01,Bn295,11671925,33902649,22230724,CNL
chr01,Bn296,43557201,56440965,12883764,TN
chr01,Bn297,96985246,99428768,2443522,CN
chr01,Bn298,27650254,72003017,44352763,CN
chr01,Bn299,36065541,99065286,62999745,RLP
chr01,Bn300,98327965,99492420,1164455,CNL
chr01,Bn301,63507179,69223550,5716371,RLP
chr01,Bn302,79632877,85803598,6170721,RLK
chr01,Bn303,67154759,95787701,28632942,CNL
chr01,Bn304,59924870,66054244,6129374,RLK
chr01,Bn305,41775431,73567489,31792058,NBS
chr01,Bn306,80405762,99353911,18948149,TN
chr01,Bn307,37897408,80674706,42777298,RLP
chr01,Bn308,45973483,80073858,34100375,RLK
chr01,Bn309,1191388,22725538,21534150,CNL
chr01,Bn310,59099450,79113241,20013791,NBS
chr01,Bn311,52734265,82663975,29929710,RLK
chr01,Bn312,38749079,88910436,50161357,CN
chr01,Bn313,7735005,24104434,16369429,CNL
chr01,Bn314,78153210,84059190,5905980,TNL
chr01,Bn315,48578816,51883638,3304822,CNL
chr01,Bn316,3943881,86829779,82885898,CNL
chr01,Bn317,7713568,81926506,74212938,CN
chr01,Bn318,34036330,46381768,12345438,RLK
chr01,Bn319,44569602,54001416,9431814,CN
chr01,Bn320,93312600,95591086,2278486,CNL
chr01,Bn321,57987564,64768665,6781101,CNL
chr01,Bn322,25444363,68964819,43520456,TNL
chr01,Bn323,33528456,54601578,21073122,RLP
chr01,Bn324,90590271,91801752,1211481,CN
chr01,Bn325,53207623,97895806,44688183,CNL
chr01,Bn326,65379238,82067800,16688562,NBS
chr01,Bn327,46028451,71162597,25134146,RLK
chr01,Bn328,14310957,97717757,83406800,NBS
chr01,Bn329,40914393,78095617,37181224,CN
chr01,Bn330,77418993,90934840,13515847,CNL
chr01,Bn331,69114756,69213631,98875,NBS
chr01,Bn332,87495015,96928278,9433263,NBS
chr01,Bn333,8441203,24479741,16038538,NBS
chr01,Bn334,80996537,99783002,18786465,RLP
chr01,Bn335,18679146,30763965,12084819,TNL
chr01,Bn336,78635119,88543998,9908879,CNL
chr01,Bn337,31756987,93010464,61253477,RLP
chr01,Bn338,5527115,23548019,18020904,CN
chr01,Bn339,35518345,39887977,4369632,TNL
chr01,Bn340,30850180,99975486,69125306,TNL
chr01,Bn341,62583899,71911744,9327845,RLP
chr01,Bn342,2345150,68635615,66290465,CNL
chr01,Bn343,76473866,79196978,2723112,RLK
chr01,Bn344,28800032,92099903,63299871,RLK
chr01,Bn345,2624874,19934117,17309243,RLK
chr01,Bn346,34467224,59115813,24648589,NBS
chr01,Bn347,84270314,89270205,4999891,TN
chr01,Bn348,30358482,78272315,47913833,NBS
chr01,Bn349,18901581,54284537,35382956,CN
chr01,Bn350,20373549,80146708,59773159,RLP
chr01,Bn351,77237870,85200769,7962899,CN
chr01,Bn352,63526882,77837943,14311061,CNL
chr01,Bn353,74981535,96227521,21245986,RLP
chr01,Bn354,65994999,82155921,16160922,NBS
chr01,Bn355,21535132,71116376,49581244,CN
chr01,Bn356,65149284,85068882,19919598,RLP
chr01,Bn357,66326022,77253935,10927913,TNL
chr01,Bn358,76164360,77303996,1139636,RLK
chr01,Bn359,55051596,79202955,24151359,NBS
chr01,Bn360,88464869,99074003,10609134,CN
chr01,Bn361,53874150,83532683,29658533,CN
chr01,Bn362,31300421,53210126,21909705,CN
chr01,Bn363,57612641,64653370,7040729,TN
chr01,Bn364,79382940,88707062,9324122,RLP
chr01,Bn365,41300941,97005775,55704834,CNL
chr01,Bn366,87225658,96770444,9544786,NBS
chr01,Bn367,57743875,92071549,34327674,CNL
chr01,Bn368,66250896,96249260,29998364,RLK
chr01,Bn369,71375335,79335530,7960195,CN
chr01,Bn370,28415855,66754837,38338982,TN
chr01,Bn371,45896614,64211899,18315285,TNL
chr01,Bn372,33869646,87403465,53533819,CNL
chr01,Bn373,16294671,77280706,60986035,TN
chr01,Bn374,17716199,59308464,41592265,NBS
chr01,Bn375,71721571,90822337,19100766,TN
chr01,Bn376,80455219,94488059,14032840,TN
chr01,Bn377,23922740,74965703,51042963,CNL
chr01,Bn378,63084219,83836180,20751961,RLK
chr01,Bn379,25951273,36616241,10664968,CNL
chr01,Bn380,18894780,97403093,78508313,TNL
chr01,Bn381,91306739,97962481,6655742,TN
chr01,Bn382,64119705,82289995,18170290,TN
chr01,Bn383,97936103,97940689,4586,TNL
chr01,Bn384,29521562,46774050,17252488,CN
chr01,Bn385,78740237,95080185,16339948,TNL
chr01,Bn386,25371788,69487983,44116195,TNL
chr01,Bn387,49112701,75780911,26668210,NBS
chr01,Bn388,7142559,73039834,65897275,RLK
chr01,Bn389,17857738,85769084,67911346,NBS
chr01,Bn390,69292760,79269625,9976865,RLP
chr01,Bn391,53632545,86701867,33069322,TN
chr01,Bn392,66415627,83828861,17413234,RLP
chr01,Bn393,71762850,80348819,8585969,NBS
chr01,Bn394,92073030,95707301,3634271,CNL
chr01,Bn395,71374599,99233761,27859162,TNL
chr01,Bn396,20087492,46264547,26177055,RLK
chr01,Bn397,97787373,98001990,214617,RLK
chr01,Bn398,27336471,37399963,10063492,NBS
chr01,Bn399,33661585,52802353,19140768,RLK
chr01,Bn400,42002117,91102568,49100451,CN
chr01,Bn401,44846678,51192264,6345586,CNL
chr01,Bn402,33486923,93131319,59644396,TNL
chr01,Bn403,92305860,96950011,4644151,CNL
chr01,Bn404,87041457,97375604,10334147,CN
chr01,Bn405,6000498,42577123,36576625,NBS
chr01,Bn406,93442535,98189555,4747020,NBS
chr01,Bn407,4429514,22589967,18160453,CN
chr01,Bn408,45366588,65382410,20015822,TNL
chr01,Bn409,76925791,78350625,1424834,RLP
chr01,Bn410,48216279,67414335,19198056,CN
chr01,Bn411,77179701,95362586,18182885,RLP
chr01,Bn412,59457810,98062853,38605043,CN
chr01,Bn413,87846006,93308413,5462407,TNL
chr01,Bn414,27929827,75285948,47356121,TN
chr01,Bn415,31384790,31649229,264439,CNL
chr01,Bn416,89288101,92496308,3208207,CN
chr01,Bn417,61706076,65894121,4188045,RLP
chr01,Bn418,76005382,79719937,3714555,RLK
chr01,Bn419,97937804,99253017,1315213,TN
chr01,Bn420,32949762,48331661,15381899,TNL
chr01,Bn421,95243862,97859649,2615787,TN
chr01,Bn422,6569308,79078164,72508856,CN
chr01,Bn423,85208304,92063957,6855653,CN
chr01,Bn424,90140040,92510893,2370853,RLP
chr01,Bn425,72183447,97931088,25747641,RLP
chr01,Bn426,48517019,69290516,20773497,TN
chr01,Bn427,32985645,61983304,28997659,TNL
chr01,Bn428,57760466,64148994,6388528,TN
chr01,Bn429,64200602,91673356,27472754,CNL
chr01,Bn430,24870738,64334655,39463917,RLK
chr01,Bn431,49250341,72451280,23200939,RLK
chr01,Bn432,33670690,81684200,48013510,TN
chr01,Bn433,98832552,99852616,1020064,RLP
chr01,Bn434,11330633,90327835,78997202,CNL
chr01,Bn435,19450255,94928998,75478743,TNL
chr01,Bn436,81413168,90739266,9326098,TNL
chr01,Bn437,21405083,35726441,14321358,CN
chr01,Bn438,60714323,74268498,13554175,CN
chr01,Bn439,14010406,22336176,8325770,RLK
chr01,Bn440,91032773,98985449,7952676,RLK
chr01,Bn441,39796577,78000710,38204133,CN
chr01,Bn442,21562904,57763308,36200404,TN
chr01,Bn443,63484779,97505366,34020587,CNL
chr01,Bn444,34385206,64955403,30570197,RLP
chr01,Bn445,52404770,59689019,7284249,TNL
chr01,Bn446,59097201,85091605,25994404,NBS
chr01,Bn447,73939806,74416008,476202,RLP
chr01,Bn448,36647607,93504030,56856423,CN
chr01,Bn449,14914058,65477393,50563335,NBS
chr01,Bn450,76240383,91444243,15203860,TNL
chr01,Bn451,4186643,34964556,30777913,CNL
chr01,Bn452,99647913,99664919,17006,CN
chr01,Bn453,24857079,30599299,5742220,TN
chr01,Bn454,89990408,97641574,7651166,CNL
chr01,Bn455,77818811,79967236,2148425,RLK
chr01,Bn456,77820100,94297380,16477280,RLK
chr01,Bn457,47557318,76472446,28915128,RLK
chr01,Bn458,50161929,88447128,38285199,NBS
chr01,Bn459,48525713,73612216,25086503,TN
chr01,Bn460,10632953,91672072,81039119,CNL
chr01,Bn461,82091451,86748268,4656817,CNL
chr01,Bn462,26166943,72836942,46669999,NBS
chr01,Bn463,17080282,68352900,51272618,TN
chr01,Bn464,99448132,99711354,263222,CN
chr01,Bn465,80934350,84775342,3840992,CN
chr01,Bn466,61341007,65039384,3698377,RLK
chr01,Bn467,43955924,92089904,48133980,CN
chr01,Bn468,26218103,49968752,23750649,NBS
chr01,Bn469,41720835,51350057,9629222,CN
chr01,Bn470,12306815,19875317,7568502,NBS
chr01,Bn471,27434821,56161782,28726961,CN
chr01,Bn472,79646463,85385847,5739384,RLK
chr01,Bn473,79736418,89685461,9949043,NBS
chr01,Bn474,32704318,86428315,53723997,NBS
chr01,Bn475,6369524,59298249,52928725,CNL
chr01,Bn476,55703329,77800093,22096764,TN
chr01,Bn477,2244967,3982937,1737970,RLP
chr01,Bn478,65132157,80864386,15732229,TN
chr01,Bn479,80381915,99267255,18885340,RLK
chr01,Bn480,44988632,81051311,36062679,RLK
chr01,Bn481,59077256,96668285,37591029,CNL
chr01,Bn482,19656272,20050442,394170,CN
chr01,Bn483,72545590,92669701,20124111,TN
chr01,Bn484,11308931,69272754,57963823,CNL
chr01,Bn485,34226310,50487724,16261414,TNL
chr01,Bn486,46848596,55966891,9118295,CNL
chr01,Bn487,9751960,94781156,85029196,RLK
chr01,Bn488,15072208,54899388,39827180,TNL
chr01,Bn489,60895563,77169344,16273781,RLP
chr01,Bn490,95152320,98480446,3328126,RLP
chr01,Bn491,3666905,51636937,47970032,TN
chr01,Bn492,36484004,40964429,4480425,CN
chr01,Bn493,1649405,82394306,80744901,CNL
chr01,Bn494,85158140,86129123,970983,NBS
chr01,Bn495,40662100,94695040,54032940,CNL
chr01,Bn496,30854111,95986473,65132362,CNL
chr01,Bn497,75940962,79719838,3778876,CNL
chr01,Bn498,27459997,39378080,11918083,RLK
chr01,Bn499,78962845,91058367,12095522,CN
chr01,Bn500,84564977,92424740,7859763,TN
chr01,Bn501,43726946,93215486,49488540,TNL
chr01,Bn502,46924272,49938894,3014622,TNL
chr01,Bn503,82135575,99900739,17765164,TN
chr01,Bn504,37065707,53188037,16122330,TNL
chr01,Bn505,10013281,54555195,44541914,CNL
chr01,Bn506,73355369,93976492,20621123,TN
chr01,Bn507,60224443,88137098,27912655,RLK
chr01,Bn508,7510722,90061315,82550593,NBS
chr01,Bn509,46518724,98281509,51762785,CNL
chr01,Bn510,13684638,92162482,78477844,RLK
chr01,Bn511,27297726,41896468,14598742,RLK
chr01,Bn512,83854209,94045405,10191196,RLK
chr01,Bn513,71191368,95008291,23816923,TNL
chr01,Bn514,46466737,73412295,26945558,RLK
chr01,Bn515,47301641,48028551,726910,RLK
chr01,Bn516,6443204,41299725,34856521,NBS
chr01,Bn517,76654698,91681919,15027221,TN
chr01,Bn518,32695122,84563312,51868190,RLK
chr01,Bn519,34014682,47661703,13647021,NBS
chr01,Bn520,42286460,87176112,44889652,NBS
chr01,Bn521,10937526,96769491,85831965,CN
chr01,Bn522,35745961,50578820,14832859,CN
chr01,Bn523,58735526,79827261,21091735,RLK
chr01,Bn524,29160390,57414881,28254491,RLK
chr01,Bn525,14488100,98403903,83915803,CN
chr01,Bn526,27535614,50105676,22570062,CNL
chr01,Bn527,10970673,68781670,57810997,CN
chr01,Bn528,21626016,52790659,31164643,NBS
chr01,Bn529,30962346,58795076,27832730,TNL
chr01,Bn530,1451766,72602446,71150680,RLK
chr01,Bn531,69099651,79725392,10625741,TNL
chr01,Bn532,95793300,96881431,1088131,TN
chr01,Bn533,77081186,92913398,15832212,RLK
chr01,Bn534,47224542,74490953,27266411,TN
chr01,Bn535,85143604,99720799,14577195,TNL
chr01,Bn536,34181924,37790778,3608854,TN
chr01,Bn537,69305466,88725715,19420249,RLK
chr01,Bn538,53969548,63847259,9877711,CN
chr01,Bn539,66254092,73681238,7427146,TNL
chr01,Bn540,74087066,74291100,204034,NBS
chr01,Bn541,96513105,98112568,1599463,CNL
chr01,Bn542,64521572,69027125,4505553,NBS
chr01,Bn543,71306117,96056549,24750432,NBS
chr01,Bn544,80775937,85491202,4715265,TNL
chr01,Bn545,39507303,90002958,50495655,CN
chr01,Bn546,60309372,92670356,32360984,RLP
chr01,Bn547,36703253,77263246,40559993,CN
chr01,Bn548,69973400,95293976,25320576,RLK
chr01,Bn549,16555433,51483106,34927673,TN
chr01,Bn550,78692887,96951369,18258482,CN
chr01,Bn551,65028948,80208787,15179839,TNL
chr01,Bn552,85935779,89837996,3902217,NBS
chr01,Bn553,74847548,98155933,23308385,NBS
chr01,Bn554,40478898,94939525,54460627,NBS
chr01,Bn555,50502814,91690886,41188072,RLK
chr01,Bn556,44424300,62327682,17903382,CNL
chr01,Bn557,89032293,92532447,3500154,RLP
chr01,Bn558,37156128,88775541,51619413,CNL
chr01,Bn559,41292767,63109323,21816556,NBS
chr01,Bn560,9775129,29401983,19626854,RLK
chr01,Bn561,74847937,94949824,20101887,NBS
chr01,Bn562,80782145,87498856,6716711,CN
chr01,Bn563,85879303,93274136,7394833,TNL
chr01,Bn564,58911228,80123882,21212654,RLP
chr01,Bn565,93177093,94823105,1646012,TN
